RowName,Sub,Block,Mode,SceneID,PatternID
S0_B0_M1,0,0,1,1,Training
S1_B1_M1,1,1,1,1,A
S1_B2_M1,1,2,1,2,B
S1_B3_M1,1,3,1,3,C
S1_B4_M2,1,4,2,1,A
S1_B5_M2,1,5,2,2,B
S1_B6_M2,1,6,2,3,C
S2_B1_M1,2,1,1,2,B
S2_B2_M1,2,2,1,3,C
S2_B3_M1,2,3,1,1,A
S2_B4_M2,2,4,2,2,B
S2_B5_M2,2,5,2,3,C
S2_B6_M2,2,6,2,1,A
S3_B1_M1,3,1,1,3,C
S3_B2_M1,3,2,1,1,A
S3_B3_M1,3,3,1,2,B
S3_B4_M2,3,4,2,3,C
S3_B5_M2,3,5,2,1,A
S3_B6_M2,3,6,2,2,B
S4_B1_M1,4,1,1,1,A
S4_B2_M1,4,2,1,2,B
S4_B3_M1,4,3,1,3,C
S4_B4_M2,4,4,2,1,A
S4_B5_M2,4,5,2,2,B
S4_B6_M2,4,6,2,3,C
S5_B1_M1,5,1,1,2,B
S5_B2_M1,5,2,1,3,C
S5_B3_M1,5,3,1,1,A
S5_B4_M2,5,4,2,2,B
S5_B5_M2,5,5,2,3,C
S5_B6_M2,5,6,2,1,A
S6_B1_M1,6,1,1,3,C
S6_B2_M1,6,2,1,1,A
S6_B3_M1,6,3,1,2,B
S6_B4_M2,6,4,2,3,C
S6_B5_M2,6,5,2,1,A
S6_B6_M2,6,6,2,2,B
S7_B1_M1,7,1,1,1,A
S7_B2_M1,7,2,1,2,B
S7_B3_M1,7,3,1,3,C
S7_B4_M2,7,4,2,1,A
S7_B5_M2,7,5,2,2,B
S7_B6_M2,7,6,2,3,C
S8_B1_M1,8,1,1,2,B
S8_B2_M1,8,2,1,3,C
S8_B3_M1,8,3,1,1,A
S8_B4_M2,8,4,2,2,B
S8_B5_M2,8,5,2,3,C
S8_B6_M2,8,6,2,1,A
S9_B1_M1,9,1,1,3,C
S9_B2_M1,9,2,1,1,A
S9_B3_M1,9,3,1,2,B
S9_B4_M2,9,4,2,3,C
S9_B5_M2,9,5,2,1,A
S9_B6_M2,9,6,2,2,B
S10_B1_M1,10,1,1,1,A
S10_B2_M1,10,2,1,2,B
S10_B3_M1,10,3,1,3,C
S10_B4_M2,10,4,2,1,A
S10_B5_M2,10,5,2,2,B
S10_B6_M2,10,6,2,3,C
S11_B1_M1,11,1,1,2,B
S11_B2_M1,11,2,1,3,C
S11_B3_M1,11,3,1,1,A
S11_B4_M2,11,4,2,2,B
S11_B5_M2,11,5,2,3,C
S11_B6_M2,11,6,2,1,A
S12_B1_M1,12,1,1,3,C
S12_B2_M1,12,2,1,1,A
S12_B3_M1,12,3,1,2,B
S12_B4_M2,12,4,2,3,C
S12_B5_M2,12,5,2,1,A
S12_B6_M2,12,6,2,2,B
S13_B1_M1,13,1,1,1,A
S13_B2_M1,13,2,1,2,B
S13_B3_M1,13,3,1,3,C
S13_B4_M2,13,4,2,1,A
S13_B5_M2,13,5,2,2,B
S13_B6_M2,13,6,2,3,C
S14_B1_M1,14,1,1,2,B
S14_B2_M1,14,2,1,3,C
S14_B3_M1,14,3,1,1,A
S14_B4_M2,14,4,2,2,B
S14_B5_M2,14,5,2,3,C
S14_B6_M2,14,6,2,1,A
S15_B1_M1,15,1,1,3,C
S15_B2_M1,15,2,1,1,A
S15_B3_M1,15,3,1,2,B
S15_B4_M2,15,4,2,3,C
S15_B5_M2,15,5,2,1,A
S15_B6_M2,15,6,2,2,B
S16_B1_M1,16,1,1,1,A
S16_B2_M1,16,2,1,2,B
S16_B3_M1,16,3,1,3,C
S16_B4_M2,16,4,2,1,A
S16_B5_M2,16,5,2,2,B
S16_B6_M2,16,6,2,3,C
S17_B1_M1,17,1,1,2,B
S17_B2_M1,17,2,1,3,C
S17_B3_M1,17,3,1,1,A
S17_B4_M2,17,4,2,2,B
S17_B5_M2,17,5,2,3,C
S17_B6_M2,17,6,2,1,A
S18_B1_M1,18,1,1,3,C
S18_B2_M1,18,2,1,1,A
S18_B3_M1,18,3,1,2,B
S18_B4_M2,18,4,2,3,C
S18_B5_M2,18,5,2,1,A
S18_B6_M2,18,6,2,2,B
S19_B1_M1,19,1,1,1,A
S19_B2_M1,19,2,1,2,B
S19_B3_M1,19,3,1,3,C
S19_B4_M2,19,4,2,1,A
S19_B5_M2,19,5,2,2,B
S19_B6_M2,19,6,2,3,C
S20_B1_M1,20,1,1,2,B
S20_B2_M1,20,2,1,3,C
S20_B3_M1,20,3,1,1,A
S20_B4_M2,20,4,2,2,B
S20_B5_M2,20,5,2,3,C
S20_B6_M2,20,6,2,1,A
S21_B1_M1,21,1,1,3,C
S21_B2_M1,21,2,1,1,A
S21_B3_M1,21,3,1,2,B
S21_B4_M2,21,4,2,3,C
S21_B5_M2,21,5,2,1,A
S21_B6_M2,21,6,2,2,B
S22_B1_M1,22,1,1,1,A
S22_B2_M1,22,2,1,2,B
S22_B3_M1,22,3,1,3,C
S22_B4_M2,22,4,2,1,A
S22_B5_M2,22,5,2,2,B
S22_B6_M2,22,6,2,3,C
S23_B1_M1,23,1,1,2,B
S23_B2_M1,23,2,1,3,C
S23_B3_M1,23,3,1,1,A
S23_B4_M2,23,4,2,2,B
S23_B5_M2,23,5,2,3,C
S23_B6_M2,23,6,2,1,A
S24_B1_M1,24,1,1,3,C
S24_B2_M1,24,2,1,1,A
S24_B3_M1,24,3,1,2,B
S24_B4_M2,24,4,2,3,C
S24_B5_M2,24,5,2,1,A
S24_B6_M2,24,6,2,2,B
